week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_sum_10_17_t-7,unlock_num_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_sum_10_17_t-6,unlock_num_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_sum_10_17_t-5,unlock_num_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_sum_10_17_t-4,unlock_num_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_sum_10_17_t-3,unlock_num_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_sum_10_17_t-2,unlock_num_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_sum_10_17_t-1,unlock_num_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_sum_10_17_t-0,unlock_num_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_sum_10_17_mean,unlock_num_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_sum_10_17_std,unlock_num_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_sum_10_17_skew,unlock_num_sum_10_17_skew,target
3.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,5.0,0.0,1.0,2.0,10276.495,95.0,6.0,1.0,1.0,2.0,2459.438,45.0,7.0,1.0,0.0,2.0,6781.275,29.0,1.0,0.0,0.0,2.0,6491.795,49.0,2.0,0.0,0.0,2.0,5651.952,67.0,3.0,0.0,0.0,2.0,6874.241,76.0,3.875,0.25,0.5,2.0,4816.8994999999995,45.125,2.03100960115899,0.4629100498862757,0.5345224838248488,0.0,3652.080856953862,34.36542074319974,0.2238027108715141,1.4401645996461911,0.0,0.0,-0.20461567910731937,-0.11237144519505145,1.0
6.0,1.0,1.0,2.0,2459.438,45.0,7.0,1.0,0.0,2.0,6781.275,29.0,1.0,0.0,0.0,2.0,6491.795,49.0,2.0,0.0,0.0,2.0,5651.952,67.0,3.0,0.0,0.0,2.0,6874.241,76.0,4.0,0.0,0.0,2.0,7802.047,65.0,5.0,0.0,0.0,3.0,3951.291,50.0,6.0,1.0,0.0,3.0,8355.351,57.0,4.25,0.375,0.125,2.25,6045.92375,54.75,2.1213203435596424,0.5175491695067657,0.3535533905932738,0.4629100498862757,1972.9837926876678,14.762403985414144,-0.31426968052735443,0.6440611887195306,2.8284271247461903,1.4401645996461911,-0.9076246787027058,-0.34196198188824306,3.0
5.0,0.0,0.0,3.0,4672.247,53.0,6.0,1.0,0.0,3.0,216.652,6.0,7.0,1.0,0.0,3.0,5961.226000000001,54.0,1.0,0.0,0.0,3.0,4950.054,48.0,2.0,0.0,0.0,3.0,1626.5590000000002,25.0,3.0,0.0,0.0,3.0,629.2860000000001,22.0,4.0,0.0,0.0,3.0,6825.589000000001,42.0,5.0,0.0,0.0,3.0,4718.143,70.0,4.125,0.25,0.0,3.0,3699.9695,40.0,2.03100960115899,0.4629100498862757,0.0,0.0,2515.356247200384,20.83266665599966,-0.2238027108715141,1.4401645996461911,0.0,0.0,-0.40819924540904273,-0.33812800262602477,0.0
5.0,0.0,0.0,3.0,5325.486,19.0,6.0,1.0,0.0,3.0,2894.4860000000003,47.0,7.0,1.0,0.0,3.0,3996.436,57.0,1.0,0.0,0.0,3.0,2309.728,36.0,2.0,0.0,0.0,3.0,2619.554,46.0,3.0,0.0,0.0,3.0,2215.597,28.0,4.0,0.0,0.0,3.0,2644.576,58.0,5.0,0.0,0.0,3.0,2147.492,43.0,4.125,0.25,0.0,3.0,3019.1693750000004,41.75,2.03100960115899,0.4629100498862757,0.0,0.0,1101.8531203732498,13.540943204117756,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.6437505794673066,-0.4989125133438028,4.0
1.0,0.0,0.0,3.0,2309.728,36.0,2.0,0.0,0.0,3.0,2619.554,46.0,3.0,0.0,0.0,3.0,2215.597,28.0,4.0,0.0,0.0,3.0,2644.576,58.0,5.0,0.0,0.0,3.0,2147.492,43.0,6.0,1.0,0.0,3.0,11097.408,42.0,7.0,1.0,0.0,3.0,5458.8150000000005,37.0,1.0,0.0,0.0,3.0,4885.546,33.0,3.625,0.25,0.0,3.0,4172.3395,40.375,2.2638462845343543,0.4629100498862757,0.0,0.0,3076.7243895293204,9.179752564359083,0.22624995586066124,1.4401645996461911,0.0,0.0,1.9948743921811323,0.8019759832957782,-8.0
3.0,0.0,0.0,3.0,2664.312,35.0,4.0,0.0,0.0,3.0,2468.074,60.0,5.0,0.0,0.0,3.0,1241.87,36.0,6.0,1.0,0.0,3.0,5614.356,56.0,7.0,1.0,0.0,3.0,8979.692,34.0,1.0,0.0,0.0,3.0,1813.384,22.0,2.0,0.0,1.0,3.0,2596.951,16.0,3.0,0.0,1.0,3.0,4756.052,39.0,3.875,0.25,0.25,3.0,3766.836375,37.25,2.03100960115899,0.4629100498862757,0.4629100498862757,0.0,2564.2639421673052,14.99285544136654,0.2238027108715141,1.4401645996461911,1.4401645996461911,0.0,1.3583567254611144,0.29286272012992837,-13.0
3.0,0.0,0.0,4.0,4934.084000000001,57.0,4.0,0.0,0.0,4.0,1967.268,42.0,5.0,0.0,0.0,4.0,7466.268999999998,23.0,6.0,1.0,0.0,4.0,2086.4170000000004,41.0,7.0,1.0,0.0,4.0,4773.969,48.0,1.0,0.0,0.0,4.0,3711.191,35.0,2.0,0.0,0.0,4.0,2762.317,29.0,3.0,0.0,0.0,4.0,2522.231,61.0,3.875,0.25,0.0,4.0,3777.96825,42.0,2.03100960115899,0.4629100498862757,0.0,0.0,1877.880540638358,13.103979766249859,0.2238027108715141,1.4401645996461911,0.0,0.0,1.1189587296576817,0.08888333760790296,-3.0
3.0,0.0,0.0,4.0,5083.253,51.0,4.0,0.0,0.0,4.0,4029.192,60.0,5.0,0.0,0.0,4.0,7682.235,68.0,6.0,1.0,0.0,4.0,403.607,9.0,7.0,1.0,0.0,4.0,2227.037,39.0,1.0,0.0,0.0,4.0,4829.718,60.0,2.0,0.0,0.0,4.0,2157.984,27.0,3.0,0.0,0.0,4.0,4658.528,58.0,3.875,0.25,0.0,4.0,3883.94425,46.5,2.03100960115899,0.4629100498862757,0.0,0.0,2243.0192271520195,20.078417695198425,0.2238027108715141,1.4401645996461911,0.0,0.0,0.10110462057341217,-1.0377454358238813,4.0
6.0,1.0,0.0,4.0,403.607,9.0,7.0,1.0,0.0,4.0,2227.037,39.0,1.0,0.0,0.0,4.0,4829.718,60.0,2.0,0.0,0.0,4.0,2157.984,27.0,3.0,0.0,0.0,4.0,4658.528,58.0,4.0,0.0,0.0,4.0,6120.561,59.0,5.0,0.0,0.0,4.0,2151.511,51.0,6.0,1.0,0.0,4.0,5588.758000000001,80.0,4.25,0.375,0.0,4.0,3517.2129999999997,47.875,2.1213203435596424,0.5175491695067657,0.0,0.0,2041.208698710364,22.17100745181805,-0.31426968052735443,0.6440611887195306,0.0,0.0,-0.1592310835681656,-0.544686678445804,-5.0
2.0,0.0,0.0,4.0,3517.465,66.0,3.0,0.0,0.0,4.0,3964.012,78.0,4.0,0.0,0.0,4.0,2511.005,59.0,5.0,0.0,0.0,4.0,4170.273,62.0,6.0,1.0,0.0,4.0,2540.31,29.0,7.0,1.0,0.0,4.0,121.657,9.0,1.0,0.0,0.0,4.0,6905.239,35.0,2.0,0.0,0.0,4.0,3360.7740000000003,33.0,3.75,0.25,0.0,4.0,3386.341875,46.375,2.1213203435596424,0.4629100498862757,0.0,0.0,1908.21107921383,23.28664546779671,0.31426968052735443,1.4401645996461911,0.0,0.0,0.22419094626250377,-0.2459281499013392,1.0
