week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_sum_10_17_t-7,unlock_num_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_sum_10_17_t-6,unlock_num_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_sum_10_17_t-5,unlock_num_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_sum_10_17_t-4,unlock_num_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_sum_10_17_t-3,unlock_num_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_sum_10_17_t-2,unlock_num_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_sum_10_17_t-1,unlock_num_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_sum_10_17_t-0,unlock_num_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_sum_10_17_mean,unlock_num_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_sum_10_17_std,unlock_num_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_sum_10_17_skew,unlock_num_sum_10_17_skew,target
1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,2457.28,24.0,3.625,0.25,0.0,3.0,307.16,3.0,2.2638462845343543,0.4629100498862757,0.0,0.0,868.7796756370399,8.48528137423857,0.22624995586066124,1.4401645996461911,0.0,0.0,2.8284271247461903,2.8284271247461903,-3.0
3.0,0.0,0.0,3.0,5926.769,65.0,4.0,0.0,0.0,3.0,2268.3500000000004,41.0,5.0,0.0,0.0,3.0,2701.461,63.0,6.0,1.0,0.0,3.0,2211.097,34.0,7.0,1.0,0.0,3.0,3070.302,44.0,1.0,0.0,0.0,3.0,3093.036,26.0,2.0,0.0,0.0,3.0,6086.062,52.0,3.0,0.0,0.0,3.0,7177.460000000001,49.0,3.875,0.25,0.0,3.0,4066.817125,46.75,2.03100960115899,0.4629100498862757,0.0,0.0,1989.1326373281713,13.435028842544403,0.2238027108715141,1.4401645996461911,0.0,0.0,0.680085476026508,-0.054373570410945656,6.0
4.0,0.0,0.0,1.0,287.043,26.0,5.0,0.0,0.0,1.0,1398.536,33.0,6.0,1.0,0.0,1.0,4236.536,56.0,7.0,1.0,0.0,1.0,1537.465,38.0,1.0,0.0,0.0,1.0,952.528,19.0,2.0,0.0,0.0,1.0,2119.16,31.0,3.0,0.0,0.0,1.0,1250.1529999999998,35.0,4.0,0.0,0.0,1.0,1861.305,27.0,4.0,0.25,0.0,1.0,1705.3407499999998,33.125,2.0,0.4629100498862757,0.0,0.0,1165.5975455042974,10.97318159358143,0.0,1.4401645996461911,0.0,0.0,1.5497325699465845,1.2502810519671397,4.0
6.0,1.0,0.0,1.0,1648.696,25.0,7.0,1.0,0.0,1.0,5314.325,33.0,1.0,0.0,0.0,1.0,4042.349,45.0,2.0,0.0,0.0,1.0,3528.146,57.0,3.0,0.0,0.0,1.0,2404.202,54.0,4.0,0.0,0.0,1.0,2169.252,54.0,5.0,0.0,0.0,1.0,2844.681,47.0,6.0,1.0,0.0,1.0,3032.0260000000003,49.0,4.25,0.375,0.0,1.0,3122.959625,45.5,2.1213203435596424,0.5175491695067657,0.0,0.0,1164.7726288766696,11.135528725660043,-0.31426968052735443,0.6440611887195306,0.0,0.0,0.8318753301061574,-1.072251929841875,2.0
6.0,1.0,1.0,2.0,3675.52,41.0,7.0,1.0,0.0,2.0,10842.382,106.0,1.0,0.0,0.0,2.0,2860.826,33.0,2.0,0.0,0.0,2.0,2655.215,45.0,3.0,0.0,0.0,2.0,3977.315,58.0,4.0,0.0,0.0,2.0,3076.528,48.0,5.0,0.0,0.0,3.0,4914.104,71.0,6.0,1.0,0.0,3.0,3420.425,40.0,4.25,0.375,0.125,2.25,4427.789375,55.25,2.1213203435596424,0.5175491695067657,0.3535533905932738,0.4629100498862757,2688.345780676603,23.662809880243966,-0.31426968052735443,0.6440611887195306,2.8284271247461903,1.4401645996461911,2.4571006057008655,1.6636659508143123,-4.0
4.0,0.0,0.0,1.0,4073.896,64.0,5.0,0.0,0.0,1.0,8943.168,107.0,6.0,1.0,0.0,1.0,6575.811,65.0,7.0,1.0,0.0,1.0,7102.356,97.0,1.0,0.0,0.0,1.0,8220.476,95.0,2.0,0.0,0.0,1.0,10665.353,97.0,3.0,0.0,0.0,1.0,6143.633,73.0,4.0,0.0,0.0,1.0,8784.416000000001,78.0,4.0,0.25,0.0,1.0,7563.638625,84.5,2.0,0.4629100498862757,0.0,0.0,2029.383113083941,16.492422502470642,0.0,1.4401645996461911,0.0,0.0,-0.27020097442266217,-0.05821364529496018,-6.0
4.0,0.0,0.0,2.0,6897.535,90.0,5.0,0.0,0.0,2.0,6432.516,69.0,6.0,1.0,0.0,2.0,2767.5260000000003,50.0,7.0,1.0,0.0,2.0,4688.346,49.0,1.0,0.0,0.0,2.0,7087.918,92.0,2.0,0.0,0.0,2.0,5582.732,109.0,3.0,0.0,0.0,2.0,3865.263,56.0,4.0,0.0,0.0,2.0,3194.1500000000005,59.0,4.0,0.25,0.0,2.0,5064.498250000001,71.75,2.0,0.4629100498862757,0.0,0.0,1688.1194012046785,22.486503888840904,0.0,1.4401645996461911,0.0,0.0,-0.13054255417869265,0.636667618270326,4.0
4.0,0.0,0.0,2.0,5340.456,63.0,5.0,0.0,0.0,2.0,4315.196,40.0,6.0,1.0,0.0,2.0,2445.128,18.0,7.0,1.0,0.0,2.0,2058.781,23.0,1.0,0.0,0.0,2.0,3193.941,58.0,2.0,0.0,0.0,2.0,7042.285,37.0,3.0,0.0,0.0,2.0,12602.967,65.0,4.0,0.0,0.0,2.0,1642.723,28.0,4.0,0.25,0.0,2.0,4830.184625,41.5,2.0,0.4629100498862757,0.0,0.0,3626.12548137087,18.462316833408067,0.0,1.4401645996461911,0.0,0.0,1.6331540876159634,0.1678051630859862,-1.0
5.0,0.0,1.0,4.0,7789.124,91.0,6.0,1.0,1.0,4.0,7680.473,89.0,7.0,1.0,1.0,4.0,10329.343,101.0,1.0,0.0,1.0,4.0,7027.656,71.0,2.0,0.0,1.0,4.0,9311.124,142.0,3.0,0.0,1.0,4.0,9016.727,116.0,4.0,0.0,1.0,4.0,11129.881,127.0,5.0,0.0,1.0,4.0,6499.6900000000005,108.0,4.125,0.25,1.0,4.0,8598.002250000001,105.625,2.03100960115899,0.4629100498862757,0.0,0.0,1623.7905140756964,22.69007020073507,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.331148079175345,0.1580289961015578,-10.0
5.0,0.0,1.0,1.0,3412.561,33.0,6.0,1.0,1.0,1.0,9605.712,79.0,7.0,1.0,1.0,1.0,8917.122,99.0,1.0,0.0,1.0,1.0,11789.783,102.0,2.0,0.0,1.0,1.0,12419.996,75.0,3.0,0.0,0.0,1.0,11664.718,82.0,4.0,0.0,0.0,1.0,11813.787,87.0,5.0,0.0,0.0,1.0,9426.012,77.0,4.125,0.25,0.625,1.0,9881.211374999999,79.25,2.03100960115899,0.4629100498862757,0.5175491695067657,0.0,2929.1595533106147,21.171071907541332,-0.2238027108715141,1.4401645996461911,-0.6440611887195306,0.0,-1.7846642753106854,-1.5868755592737855,-9.0
