week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_4_t-7,unlock_num_hr_4_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_4_t-6,unlock_num_hr_4_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_4_t-5,unlock_num_hr_4_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_4_t-4,unlock_num_hr_4_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_4_t-3,unlock_num_hr_4_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_4_t-2,unlock_num_hr_4_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_4_t-1,unlock_num_hr_4_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_4_t-0,unlock_num_hr_4_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_4_mean,unlock_num_hr_4_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_4_std,unlock_num_hr_4_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_4_skew,unlock_num_hr_4_skew,target
3.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,5.0,0.0,1.0,4.0,895.594,2.0,6.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,558.107,4.0,3.875,0.25,0.375,4.0,181.712625,0.75,2.03100960115899,0.4629100498862757,0.5175491695067657,0.0,348.34634071154676,1.4880476182856899,0.2238027108715141,1.4401645996461911,0.6440611887195306,0.0,1.7174675530766244,1.9510301759000723,-12.0
5.0,0.0,0.0,4.0,147.672,3.0,6.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,35.719,1.0,4.0,0.0,0.0,4.0,200.316,4.0,5.0,0.0,0.0,4.0,71.279,1.0,4.125,0.25,0.0,4.0,56.87325,1.125,2.03100960115899,0.4629100498862757,0.0,0.0,77.84006470917512,1.5526475085202969,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.1945042650859639,1.2547266120980485,-4.0
4.0,0.0,0.0,4.0,351.662,7.0,5.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0,0.0,4.0,215.888,1.0,7.0,1.0,0.0,4.0,1510.35,4.0,1.0,0.0,0.0,4.0,241.865,6.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.25,0.0,4.0,289.9706249999999,2.25,2.0,0.4629100498862757,0.0,0.0,512.3148982259523,2.9640705601780613,0.0,1.4401645996461911,0.0,0.0,2.436075668111123,0.8612634134802536,-5.0
6.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,304.704,2.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,917.053,6.0,4.25,0.375,0.0,2.875,152.719625,1.0,2.1213203435596424,0.5175491695067657,0.0,1.5526475085202969,326.72497423977575,2.138089935299395,-0.31426968052735443,0.6440611887195306,0.0,-0.6440611887195306,2.341066251265402,2.338535866733713,6.0
2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,304.704,2.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,917.053,6.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,3.75,0.25,0.25,1.75,152.719625,1.0,2.1213203435596424,0.4629100498862757,0.4629100498862757,1.3887301496588271,326.72497423977575,2.138089935299395,0.31426968052735443,1.4401645996461911,1.4401645996461911,1.4401645996461911,2.341066251265402,2.338535866733713,1.0
6.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,29.065,2.0,5.0,0.0,0.0,1.0,843.937,5.0,6.0,1.0,0.0,1.0,0.0,0.0,4.25,0.375,0.0,1.0,109.12525000000001,0.875,2.1213203435596424,0.5175491695067657,0.0,0.0,297.08293038753146,1.807721533549109,-0.31426968052735443,0.6440611887195306,0.0,0.0,2.821908730130217,2.1794787732861187,-7.0
3.0,0.0,0.0,1.0,201.891,5.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,452.348,5.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,147.852,6.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.875,0.25,0.0,1.0,100.261375,2.0,2.03100960115899,0.4629100498862757,0.0,0.0,163.36644014251914,2.7774602993176543,0.2238027108715141,1.4401645996461911,0.0,0.0,1.7371950822616213,0.6934125850148327,10.0
4.0,0.0,0.0,2.0,131.889,2.0,5.0,0.0,0.0,2.0,510.036,7.0,6.0,1.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,2.0,113.591,2.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,0.25,0.0,2.0,94.4395,1.375,2.0,0.4629100498862757,0.0,0.0,176.91151606543716,2.445841952609133,0.0,1.4401645996461911,0.0,0.0,2.3265506986542017,2.154128033823896,13.0
6.0,1.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,2.0,18.509,2.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,6.0,1.0,1.0,2.0,0.0,0.0,4.25,0.375,0.125,2.0,2.313625,0.25,2.1213203435596424,0.5175491695067657,0.3535533905932738,0.0,6.543919706490904,0.7071067811865476,-0.31426968052735443,0.6440611887195306,2.8284271247461903,0.0,2.8284271247461894,2.8284271247461903,-3.0
4.0,0.0,0.0,3.0,879.125,5.0,5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,0.25,0.0,3.0,109.890625,0.625,2.0,0.4629100498862757,0.0,0.0,310.8176245053118,1.7677669529663689,0.0,1.4401645996461911,0.0,0.0,2.8284271247461903,2.82842712474619,-6.0
4.0,0.0,0.0,3.0,144.856,3.0,5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,1127.588,3.0,2.0,0.0,0.0,3.0,186.5,1.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,0.25,0.0,3.0,182.368,0.875,2.0,0.4629100498862757,0.0,0.0,389.35028464793567,1.3562026818605375,0.0,1.4401645996461911,0.0,0.0,2.6272857204941023,1.2098314809245099,-4.0
3.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,5.0,0.0,1.0,4.0,0.0,0.0,6.0,1.0,1.0,4.0,0.0,0.0,7.0,1.0,1.0,4.0,115.447,1.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,1.0,4.0,20.783,1.0,3.875,0.25,1.0,4.0,17.028750000000002,0.25,2.03100960115899,0.4629100498862757,0.0,0.0,40.426505247176635,0.4629100498862757,0.2238027108715141,1.4401645996461911,0.0,0.0,2.663066926969026,1.4401645996461911,-4.0
4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,0.1,2.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,406.07,10.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,326.561,1.0,4.0,0.25,0.0,4.0,91.591375,1.625,2.0,0.4629100498862757,0.0,0.0,170.8897312913777,3.4615231989895516,0.0,1.4401645996461911,0.0,0.0,1.5063206900243404,2.598289316900302,-15.0
6.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,905.751,7.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,181.474,2.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,371.432,8.0,6.0,1.0,0.0,4.0,0.0,0.0,4.25,0.375,0.0,4.0,182.332125,2.125,2.1213203435596424,0.5175491695067657,0.0,0.0,321.89603176111626,3.399054490379851,-0.31426968052735443,0.6440611887195306,0.0,0.0,2.0275714834449325,1.312757101659762,-2.0
5.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,323.363,6.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,41.271,4.0,3.0,0.0,0.0,4.0,7.371,2.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,4.125,0.25,0.0,4.0,46.500625,1.5,2.03100960115899,0.4629100498862757,0.0,0.0,112.77207851482373,2.32992949004287,-0.2238027108715141,1.4401645996461911,0.0,0.0,2.743816891804407,1.3553606451772928,1.0
1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,41.271,4.0,3.0,0.0,0.0,4.0,7.371,2.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0,0.0,4.0,1014.838,5.0,7.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,3.625,0.25,0.0,4.0,132.935,1.375,2.2638462845343543,0.4629100498862757,0.0,0.0,356.6270720286309,2.065879266282796,0.22624995586066124,1.4401645996461911,0.0,0.0,2.819574075671198,1.1443150502475037,2.0
