week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_sum_10_17_t-7,unlock_num_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_sum_10_17_t-6,unlock_num_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_sum_10_17_t-5,unlock_num_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_sum_10_17_t-4,unlock_num_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_sum_10_17_t-3,unlock_num_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_sum_10_17_t-2,unlock_num_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_sum_10_17_t-1,unlock_num_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_sum_10_17_t-0,unlock_num_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_sum_10_17_mean,unlock_num_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_sum_10_17_std,unlock_num_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_sum_10_17_skew,unlock_num_sum_10_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_sum_10_17_t-7_encoded,unlock_num_sum_10_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_sum_10_17_t-6_encoded,unlock_num_sum_10_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_sum_10_17_t-5_encoded,unlock_num_sum_10_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_sum_10_17_t-4_encoded,unlock_num_sum_10_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_sum_10_17_t-3_encoded,unlock_num_sum_10_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_sum_10_17_t-2_encoded,unlock_num_sum_10_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_sum_10_17_t-1_encoded,unlock_num_sum_10_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_sum_10_17_t-0_encoded,unlock_num_sum_10_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_sum_10_17_mean_encoded,unlock_num_sum_10_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_sum_10_17_std_encoded,unlock_num_sum_10_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_sum_10_17_skew_encoded,unlock_num_sum_10_17_skew_encoded,anomaly_encoded
1.0,0.0,0.0,3.0,12167.445,14.0,2.0,0.0,0.0,3.0,7630.610000000001,15.0,3.0,0.0,0.0,3.0,5109.956,14.0,4.0,0.0,0.0,3.0,1519.362,19.0,5.0,0.0,0.0,3.0,5322.642,11.0,6.0,1.0,0.0,3.0,988.421,8.0,7.0,1.0,0.0,3.0,5886.769,16.0,1.0,0.0,1.0,3.0,7054.066,13.0,3.625,0.25,0.125,3.0,5709.908875,13.75,2.2638462845343543,0.4629100498862757,0.3535533905932738,0.0,3537.350773183572,3.284161123592185,0.2262499558606612,1.4401645996461911,2.8284271247461903,0.0,0.4289623788592989,-0.2863432443182871,0.0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1
6.0,1.0,0.0,4.0,4675.85,23.0,7.0,1.0,0.0,4.0,7391.317,19.0,1.0,0.0,0.0,4.0,1452.714,17.0,2.0,0.0,0.0,4.0,1170.047,11.0,3.0,0.0,0.0,4.0,373.783,13.0,4.0,0.0,0.0,4.0,520.274,14.0,5.0,0.0,0.0,4.0,4258.565,15.0,6.0,1.0,0.0,4.0,2958.585,20.0,4.25,0.375,0.0,4.0,2850.1418750000003,16.5,2.1213203435596424,0.5175491695067657,0.0,0.0,2457.8462793842464,4.0,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.862403461503017,0.3125,-6.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1
5.0,0.0,0.0,1.0,701.5609999999999,16.0,6.0,1.0,0.0,1.0,17922.269,22.0,7.0,1.0,0.0,1.0,8817.73,27.0,1.0,0.0,0.0,1.0,487.22100000000006,10.0,2.0,0.0,0.0,1.0,1886.704,20.0,3.0,0.0,0.0,1.0,1175.997,19.0,4.0,0.0,0.0,1.0,7598.208,22.0,5.0,0.0,0.0,1.0,1932.231,19.0,4.125,0.25,0.0,1.0,5065.240125,19.375,2.03100960115899,0.4629100498862757,0.0,0.0,6104.393064317263,4.955156044825574,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.5856823477448694,-0.5992655970048413,5.0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
3.0,0.0,0.0,2.0,3815.657,26.0,4.0,0.0,0.0,2.0,3977.35,17.0,5.0,0.0,0.0,2.0,1643.7379999999998,17.0,6.0,1.0,0.0,2.0,8630.851999999999,20.0,7.0,1.0,0.0,2.0,3625.936,18.0,1.0,0.0,0.0,2.0,1489.02,14.0,2.0,0.0,0.0,2.0,1980.92,18.0,3.0,0.0,0.0,2.0,5745.395,19.0,3.875,0.25,0.0,2.0,3863.6085,18.625,2.03100960115899,0.4629100498862757,0.0,0.0,2403.879818764419,3.461523198989552,0.2238027108715141,1.4401645996461911,0.0,0.0,1.1517160794159738,1.35834346227348,6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,2.0,2716.4750000000004,26.0,4.0,0.0,0.0,2.0,4517.046,26.0,5.0,0.0,1.0,2.0,5644.351000000001,24.0,6.0,1.0,1.0,2.0,5709.365000000001,14.0,7.0,1.0,1.0,2.0,4858.766,31.0,1.0,0.0,1.0,2.0,3763.188,32.0,2.0,0.0,1.0,2.0,3947.621,29.0,3.0,0.0,1.0,2.0,1663.1999999999998,19.0,3.875,0.25,0.75,2.0,4102.5015,25.125,2.03100960115899,0.4629100498862757,0.4629100498862757,0.0,1399.667114091776,6.104740546727366,0.2238027108715141,1.4401645996461911,-1.4401645996461911,0.0,-0.6183499578197986,-0.8546697594609569,0.0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,0,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,0
7.0,1.0,0.0,4.0,4286.397,23.0,1.0,0.0,0.0,4.0,4446.0,16.0,2.0,0.0,0.0,4.0,1499.527,13.0,3.0,0.0,0.0,4.0,2339.605,19.0,4.0,0.0,0.0,4.0,1633.871,18.0,5.0,0.0,0.0,4.0,6410.27,26.0,6.0,1.0,0.0,4.0,6391.658,32.0,7.0,1.0,0.0,4.0,5346.194,31.0,4.375,0.375,0.0,4.0,4044.190250000001,22.25,2.2638462845343543,0.5175491695067657,0.0,0.0,2007.657767788962,6.96419413859206,-0.2262499558606612,0.6440611887195306,0.0,0.0,-0.1639454397289601,0.2837996609322546,-14.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,0,1,1,1,1,1
3.0,0.0,0.0,1.0,7524.601,38.0,4.0,0.0,0.0,1.0,2802.545,19.0,5.0,0.0,0.0,1.0,4126.213,16.0,6.0,1.0,0.0,1.0,6029.326999999999,19.0,7.0,1.0,0.0,1.0,2850.654,20.0,1.0,0.0,0.0,1.0,1085.268,13.0,2.0,0.0,0.0,1.0,2679.273,24.0,3.0,0.0,0.0,1.0,5008.596,29.0,3.875,0.25,0.0,1.0,4013.309625,22.25,2.03100960115899,0.4629100498862757,0.0,0.0,2089.690198189601,7.995534467974697,0.2238027108715141,1.4401645996461911,0.0,0.0,0.4518770686216372,1.15679096228273,-5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,1.0,3943.188,31.0,6.0,1.0,0.0,1.0,12316.942,28.0,7.0,1.0,0.0,1.0,5411.551,19.0,1.0,0.0,0.0,1.0,11107.379,14.0,2.0,0.0,0.0,1.0,3675.966,17.0,3.0,0.0,0.0,1.0,2517.966,9.0,4.0,0.0,0.0,1.0,3273.014,16.0,5.0,0.0,0.0,1.0,5530.7,52.0,4.125,0.25,0.0,1.0,5972.08825,23.25,2.03100960115899,0.4629100498862757,0.0,0.0,3698.3004152130175,13.666957023628717,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.164535820338515,1.4885100909083873,10.0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,2.0,0.05,1.0,6.0,1.0,0.0,2.0,1630.109,6.0,7.0,1.0,0.0,2.0,19060.742,20.0,1.0,0.0,0.0,2.0,673.905,6.0,2.0,0.0,0.0,2.0,1755.866,12.0,3.0,0.0,0.0,2.0,2333.0950000000003,14.0,4.0,0.0,0.0,2.0,1977.284,15.0,5.0,0.0,0.0,2.0,2253.2200000000003,16.0,4.125,0.25,0.0,2.0,3710.533875,11.25,2.03100960115899,0.4629100498862757,0.0,0.0,6254.048355926021,6.341473465550866,-0.2238027108715141,1.4401645996461911,0.0,0.0,2.733526638993094,-0.38484704681952,9.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1
2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,3.75,0.25,0.0,4.0,0.0,0.0,2.1213203435596424,0.4629100498862757,0.0,0.0,0.0,0.0,0.3142696805273544,1.4401645996461911,0.0,0.0,0.0,0.0,-8.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
